City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
393,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
397,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
398,Caravelas,BR,76.46,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
401,San Jose,US,76.91,scattered clouds,37.3394,-121.895,The Westin San Jose
402,Atar,MR,82.8,broken clouds,20.5169,-13.0499,Oumou Elghoura
406,Lagos,NG,80.92,scattered clouds,6.5833,3.75,
412,Isangel,VU,84.31,clear sky,-19.55,169.2667,Tanna Lodge
418,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
423,Kulhudhuffushi,MV,80.85,broken clouds,6.6221,73.07,Haajy Guest House 1
424,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
430,Angoram,PG,77.25,overcast clouds,-4.0625,144.0661,
432,Ahuimanu,US,84.36,clear sky,21.4447,-157.8378,Paradise Bay Resort
434,Victoria Point,AU,77.95,clear sky,-27.5833,153.3,Bay Retreat Motel
436,Ugoofaaru,MV,81.41,overcast clouds,5.6667,73.0,Ungoofaaru Inn
440,Yulara,AU,75.27,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
442,Tharad,IN,76.37,clear sky,24.3961,71.6267,Suresh Parmar
443,Kieta,PG,82.83,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
444,Hidalgotitlan,MX,77.02,light rain,17.7833,-94.6333,
445,Makakilo City,US,84.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
447,Diffa,NE,81.14,overcast clouds,13.3154,12.6113,ProDAF/Diffa
448,Acarau,BR,79.14,scattered clouds,-2.8856,-40.12,castelo pizzaria
453,Jardim,BR,81.37,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
454,Maumere,ID,80.69,overcast clouds,-8.6199,122.2111,Sylvia Hotel
456,Papayal,PE,79.41,clear sky,-4.0761,-80.7361,
458,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
462,Namatanai,PG,83.14,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
463,Macaubas,BR,79.74,overcast clouds,-13.0194,-42.6986,Hotel Portal
464,Ontario,US,84.67,clear sky,34.0633,-117.6509,Capri Motel
466,Moctezuma,MX,78.8,clear sky,29.8,-109.6667,Hotel Lobohombo
468,Nouakchott,MR,87.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
486,Kavieng,PG,83.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
489,Tombouctou,ML,76.78,clear sky,20.0,-3.0,
490,Numan,NG,79.02,scattered clouds,9.4667,12.0333,Zangun Motel
491,Acapulco,MX,82.89,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
493,Kingstown,VC,78.08,broken clouds,13.1587,-61.2248,Rich View Hotel
498,Berbera,SO,79.75,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
499,Amarante Do Maranhao,BR,85.96,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
505,San Felipe,VE,75.9,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
506,Mancio Lima,BR,86.07,heavy intensity rain,-7.6142,-72.8958,Motel Asas Do Desejo
507,Ubatuba,BR,75.85,overcast clouds,-23.4339,-45.0711,Hotel Coquille
