City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
108,Belmonte,BR,-15.8631,-38.8828,76.33,84,13,8.72,few clouds
109,Tutoia,BR,-2.7619,-42.2744,79.95,84,99,14.67,overcast clouds
110,Bredasdorp,ZA,-34.5322,20.0403,62.92,75,100,7.47,overcast clouds
111,Evensk,RU,61.95,159.2333,18.25,95,100,14.79,light snow
112,Terrace,CA,54.5163,-128.6035,40.91,93,100,18.41,sleet
113,Santa Cruz,BO,-17.8,-63.1667,87.85,55,40,18.41,scattered clouds
114,Ulaangom,MN,49.9811,92.0667,24.24,57,12,5.17,few clouds
115,Kourou,GF,5.1552,-52.6478,78.85,93,100,5.55,overcast clouds
116,Torbay,CA,47.6666,-52.7314,49.57,77,20,29.93,few clouds
117,Roald,NO,62.5833,6.1333,47.34,93,100,10.36,overcast clouds
118,Peniche,PT,39.3558,-9.3811,63.1,94,100,6.55,overcast clouds
119,Butaritari,KI,3.0707,172.7902,81.79,67,97,13.87,overcast clouds
120,Hasaki,JP,35.7333,140.8333,45.0,55,20,17.31,few clouds
121,Olinda,BR,-8.0089,-34.8553,80.33,65,40,10.36,scattered clouds
122,San Ignacio,BZ,17.1561,-89.0714,83.93,64,78,5.44,broken clouds
123,Tolbazy,RU,54.0241,55.8825,30.06,67,93,7.67,overcast clouds
124,Tiarei,PF,-17.5333,-149.3333,84.22,77,34,9.66,scattered clouds
125,Burnie,AU,-41.0667,145.9167,55.94,59,1,6.58,clear sky
126,Ocean City,US,39.2776,-74.5746,58.01,65,8,10.0,clear sky
127,Talnakh,RU,69.4865,88.3972,7.97,96,94,5.7,overcast clouds
128,Faanui,PF,-16.4833,-151.75,80.42,73,42,13.67,light rain
129,Aklavik,CA,68.2191,-135.0107,15.8,86,100,2.3,light snow
130,Jamestown,US,42.097,-79.2353,64.04,27,0,5.75,clear sky
131,Sitka,US,57.0531,-135.33,46.29,71,100,20.71,moderate rain
132,Vaini,TO,-21.2,-175.2,78.96,78,20,8.05,few clouds
133,Fort Nelson,CA,58.8053,-122.7002,36.99,48,75,0.0,broken clouds
134,Catamarca,AR,-28.4696,-65.7852,101.77,11,0,8.01,clear sky
135,Port Alfred,ZA,-33.5906,26.891,69.12,87,53,10.63,broken clouds
136,Jizan,SA,17.3333,42.6667,85.14,65,87,1.72,overcast clouds
137,Cacoal,BR,-11.4386,-61.4472,74.35,93,96,4.88,overcast clouds
138,East London,ZA,-33.0153,27.9116,73.74,69,73,8.3,broken clouds
139,Kerema,PG,-7.9631,145.7785,82.33,77,67,1.14,broken clouds
140,Payo,ID,-3.7508,103.6372,71.06,96,48,2.01,scattered clouds
141,Sechura,PE,-5.5569,-80.8222,71.4,61,97,18.14,overcast clouds
142,Kodiak,US,57.79,-152.4072,35.11,93,100,18.41,light rain
143,Galle,LK,6.0367,80.217,76.6,86,99,2.91,overcast clouds
144,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,20,2.3,few clouds
145,Rocha,UY,-34.4833,-54.3333,61.2,91,4,2.57,clear sky
146,Miandrivazo,MG,-19.5167,45.4667,78.75,66,5,2.1,clear sky
147,Cape Town,ZA,-33.9258,18.4232,64.27,80,0,11.5,clear sky
148,Bethel,US,41.3712,-73.414,58.05,47,0,1.61,clear sky
149,Oistins,BB,13.0667,-59.5333,80.69,89,20,12.66,few clouds
150,Cherskiy,RU,68.75,161.3,1.94,97,100,5.03,overcast clouds
151,Ovsyanka,RU,55.9575,92.5519,29.37,85,90,7.16,overcast clouds
152,Imbituba,BR,-28.24,-48.6703,72.32,81,100,9.6,light rain
153,San Lawrenz,MT,36.0553,14.204,67.86,78,0,11.83,clear sky
154,Polson,US,47.6936,-114.1632,54.72,49,21,10.0,few clouds
155,Otukpo,NG,7.1913,8.1329,73.76,90,100,3.83,overcast clouds
156,San Patricio,US,28.017,-97.5169,77.09,41,0,11.54,clear sky
157,Urumqi,CN,43.801,87.6005,31.15,80,0,2.24,clear sky
158,Zainsk,RU,55.3195,52.0694,34.79,98,100,13.62,snow
159,Abu Samrah,SY,35.3029,37.1841,65.66,37,0,6.91,clear sky
160,Sanghar,PK,26.0466,68.9481,76.84,46,17,7.65,few clouds
161,Snezhnogorsk,RU,69.1933,33.2531,33.58,95,100,34.29,snow
162,Namibe,AO,-15.1961,12.1522,72.14,83,88,5.28,light rain
163,Cascais,PT,38.6979,-9.4215,66.94,97,100,3.0,light rain
164,Pueblo,US,38.2545,-104.6091,68.09,20,0,6.91,clear sky
165,Chokurdakh,RU,70.6333,147.9167,7.61,95,100,9.28,overcast clouds
166,Port Hardy,CA,50.6996,-127.4199,50.18,100,100,8.05,light rain
167,Provideniya,RU,64.3833,-173.3,17.62,80,100,8.81,overcast clouds
168,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,69.49,94,71,7.05,heavy intensity rain
169,Ambilobe,MG,-13.2,49.05,73.6,81,100,2.57,light rain
170,Lavrentiya,RU,65.5833,-171.0,22.35,72,82,13.56,broken clouds
171,Tottori,JP,35.5,134.2333,48.27,87,40,5.75,scattered clouds
172,Coihaique,CL,-45.5752,-72.0662,48.15,40,40,10.36,scattered clouds
173,Bilibino,RU,68.0546,166.4372,-3.37,100,100,1.01,overcast clouds
174,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,20,13.8,few clouds
175,Port Blair,IN,11.6667,92.75,80.91,81,23,11.05,heavy intensity rain
176,Poya,NC,-21.35,165.15,81.88,66,33,1.66,scattered clouds
177,Hofn,IS,64.2539,-15.2082,39.79,75,50,9.42,scattered clouds
178,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,11.5,broken clouds
179,Faya,SA,18.3851,42.4509,59.11,74,69,3.11,broken clouds
180,Moree,AU,-29.4667,149.85,70.18,41,11,2.15,few clouds
181,Harare,ZW,-17.8294,31.0539,61.72,80,16,5.41,few clouds
182,Batagay-Alyta,RU,67.8006,130.4114,-7.73,86,98,3.2,overcast clouds
183,Katsuura,JP,35.1333,140.3,58.35,66,97,12.97,overcast clouds
184,Hanmer Springs,NZ,-42.5167,172.8167,65.93,43,79,10.63,broken clouds
185,Zhangye,CN,38.9342,100.4517,39.43,51,34,9.04,scattered clouds
186,Linkou,CN,45.3,130.2833,28.87,60,0,1.86,clear sky
187,Wageningen,NL,51.9667,5.6667,64.49,83,100,5.75,overcast clouds
188,Zemst,BE,50.9835,4.4588,66.54,79,0,4.61,clear sky
189,Milledgeville,US,33.0801,-83.2321,66.69,76,100,5.75,overcast clouds
190,Luangwa,ZM,-15.6167,30.4167,83.52,45,2,10.71,clear sky
191,Mikkeli,FI,61.6886,27.2723,42.91,70,100,14.97,overcast clouds
192,Geraldton,AU,-28.7667,114.6,59.41,72,75,21.85,broken clouds
193,Rawson,AR,-43.3002,-65.1023,51.46,44,92,17.11,overcast clouds
194,Grindavik,IS,63.8424,-22.4338,43.27,87,75,14.97,broken clouds
195,College,US,64.8569,-147.8028,20.21,75,75,0.0,broken clouds
196,Lamu,KE,-2.2717,40.902,79.02,90,86,9.95,overcast clouds
197,Phonhong,LA,18.5007,102.4166,69.04,92,100,1.79,overcast clouds
198,Dzilam Gonzalez,MX,21.2833,-88.9333,81.79,69,33,7.74,scattered clouds
199,Sao Filipe,CV,14.8961,-24.4956,80.46,69,92,9.91,overcast clouds
200,Vacaria,BR,-28.5122,-50.9339,59.79,95,100,4.83,overcast clouds
201,Jieshou,CN,33.2634,115.3611,51.51,72,27,6.46,scattered clouds
202,Sheridan,US,44.8333,-106.9173,61.18,25,0,3.44,clear sky
203,Saldanha,ZA,-33.0117,17.9442,60.85,86,100,16.2,overcast clouds
204,Gumdag,TM,39.2061,54.5906,52.38,73,27,2.71,scattered clouds
205,Ribeira Grande,PT,38.5167,-28.7,63.77,81,100,8.99,light rain
206,Nikolskoye,RU,59.7035,30.7861,48.09,68,69,16.08,broken clouds
207,Kupang,ID,-10.1667,123.5833,78.66,84,95,3.22,overcast clouds
208,Chuy,UY,-33.6971,-53.4616,67.71,70,1,10.16,light rain
209,Abdanan,IR,32.9926,47.4198,63.99,29,31,3.2,scattered clouds
210,Bengkulu,ID,-3.8004,102.2655,74.77,92,100,4.18,light rain
211,Ouadda,CF,8.0777,22.4007,71.51,57,100,2.53,overcast clouds
212,Alta Floresta,BR,-9.8756,-56.0861,72.66,96,94,3.4,overcast clouds
213,Araguacu,BR,-12.9306,-49.8264,72.37,92,100,3.71,overcast clouds
214,Okhotsk,RU,59.3833,143.3,20.26,59,28,19.19,scattered clouds
215,Laguna,US,38.421,-121.4238,76.14,28,0,10.36,clear sky
216,Carora,VE,10.1755,-70.0827,81.07,60,97,7.81,overcast clouds
217,Tuatapere,NZ,-46.1333,167.6833,58.42,73,88,8.23,overcast clouds
218,La Maddalena,IT,41.2142,9.4083,64.56,78,0,6.69,clear sky
219,Saint George,US,37.1041,-113.5841,70.95,19,0,1.99,clear sky
220,Nizip,TR,37.0097,37.7942,50.13,24,0,5.37,clear sky
221,Phalaborwa,ZA,-23.943,31.1411,67.53,72,4,6.08,clear sky
222,Robertson,US,36.5167,-86.8667,75.18,44,0,9.22,clear sky
223,Folkestone,GB,51.0833,1.1833,61.99,98,83,1.01,broken clouds
224,Sandur,IN,15.1,76.55,67.41,76,34,4.72,scattered clouds
225,Asau,RO,46.4333,26.4,45.52,79,94,7.67,overcast clouds
226,Port-Cartier,CA,50.0334,-66.8654,47.88,59,93,12.75,overcast clouds
227,Aksay,RU,47.26,39.87,50.22,72,98,11.01,overcast clouds
228,Buena Vista,US,43.4203,-83.8986,61.09,39,0,4.61,clear sky
229,Yeppoon,AU,-23.1333,150.7333,73.18,58,11,5.86,few clouds
230,Rabo De Peixe,PT,37.8,-25.5833,63.91,95,40,10.36,scattered clouds
231,Andijon,UZ,40.7821,72.3442,49.28,48,96,5.1,overcast clouds
232,Gisborne,NZ,-38.6533,178.0042,66.0,74,99,7.11,overcast clouds
233,Kargasok,RU,59.0556,80.8572,21.16,92,22,6.46,few clouds
234,Kathu,TH,7.9178,98.3332,82.74,87,42,8.63,scattered clouds
235,Tautira,PF,-17.7333,-149.15,78.53,78,57,9.95,broken clouds
236,Pyapon,MM,16.2833,95.6833,73.78,92,33,4.29,scattered clouds
237,Carnarvon,AU,-24.8667,113.6333,62.67,77,75,17.27,broken clouds
238,Tagusao,PH,9.1924,117.8141,78.89,86,100,16.44,overcast clouds
239,Remanso,BR,-9.6179,-42.0831,83.73,48,100,5.86,overcast clouds
240,Yuli,NG,9.6989,10.2744,77.56,32,94,4.41,overcast clouds
241,La Asuncion,VE,11.0333,-63.8628,96.53,49,100,11.5,overcast clouds
242,Inhambane,MZ,-23.865,35.3833,73.76,83,64,13.35,light rain
243,Viedma,AR,-40.8135,-62.9967,49.26,66,100,10.33,moderate rain
244,Oranjemund,NA,-28.55,16.4333,61.14,87,88,4.5,overcast clouds
245,Cayenne,GF,4.9333,-52.3333,78.84,94,75,1.14,broken clouds
246,Moose Factory,CA,51.2585,-80.6094,57.2,54,0,11.5,clear sky
247,San Benito,US,36.6166,-121.0844,66.83,24,66,7.14,broken clouds
248,Mogadishu,SO,2.0371,45.3438,78.24,84,38,10.87,scattered clouds
249,Rio Gallegos,AR,-51.6226,-69.2181,48.25,37,40,39.12,scattered clouds
250,Salina Cruz,MX,16.1667,-95.2,88.48,57,29,18.52,scattered clouds
251,Ishigaki,JP,24.3448,124.1572,77.13,88,75,21.85,broken clouds
252,Farafangana,MG,-22.8167,47.8333,69.76,91,100,7.92,moderate rain
253,Hudson Bay,CA,52.85,-102.3842,50.5,49,40,14.23,scattered clouds
254,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,26,75,14.97,broken clouds
255,Nanortalik,GL,60.1432,-45.2371,29.3,83,30,11.12,scattered clouds
256,Merauke,ID,-8.4667,140.3333,80.56,75,87,10.25,overcast clouds
257,Baykit,RU,61.67,96.37,21.51,87,91,7.0,overcast clouds
258,Tabuk,PH,17.4189,121.4443,74.61,97,100,1.1,light rain
259,La Ronge,CA,55.1001,-105.2842,52.05,25,40,16.11,scattered clouds
260,Nouadhibou,MR,20.931,-17.0347,80.58,34,32,13.8,dust
261,Te Anau,NZ,-45.4167,167.7167,50.83,96,94,5.86,moderate rain
262,Tazovskiy,RU,67.4667,78.7,14.02,93,42,8.46,scattered clouds
263,Dindori,IN,22.95,81.0833,58.82,67,0,2.17,clear sky
264,Rurrenabaque,BO,-14.4413,-67.5278,85.41,61,96,6.17,overcast clouds
265,La Paz,BO,-16.5,-68.15,66.18,19,40,11.5,scattered clouds
266,Port Macquarie,AU,-31.4333,152.9167,68.9,50,2,2.42,clear sky
267,Krizevci,HR,46.0219,16.5425,53.19,80,11,3.83,few clouds
268,Inongo,CD,-1.95,18.2667,72.18,93,88,4.43,overcast clouds
269,Severo-Kurilsk,RU,50.6789,156.125,38.73,72,96,8.66,overcast clouds
270,Maarianhamina,AX,60.0973,19.9348,46.26,61,0,10.36,clear sky
271,Kokorevka,RU,52.5872,34.2778,51.8,92,100,11.1,overcast clouds
272,Saint-Augustin,CA,51.226,-58.6502,46.18,61,100,17.36,overcast clouds
273,Miguel Auza,MX,24.2933,-103.4503,74.08,17,19,6.44,few clouds
274,Ilulissat,GL,69.2167,-51.1,32.02,59,100,17.27,overcast clouds
275,Iquitos,PE,-3.7481,-73.2472,87.84,66,40,3.44,scattered clouds
276,Sulina,RO,45.1559,29.6536,55.65,80,48,11.5,scattered clouds
277,Broome,US,42.2506,-75.833,60.17,28,0,0.0,clear sky
278,Rodrigues Alves,BR,-7.738,-72.6509,86.2,64,83,2.39,moderate rain
279,Nuristan,AF,35.3,70.8333,30.94,55,2,6.17,clear sky
280,Aswan,EG,24.0934,32.907,76.3,33,0,5.75,clear sky
281,Wenling,CN,28.3669,121.36,63.14,78,99,10.07,overcast clouds
282,Aksu,CN,41.1231,80.2644,48.63,36,33,3.85,scattered clouds
283,Pierre,US,44.3683,-100.351,65.32,31,0,12.66,clear sky
284,Matagami,CA,49.7502,-77.6328,55.51,58,0,11.5,clear sky
285,General Pico,AR,-35.6566,-63.7568,77.99,37,0,11.07,clear sky
286,Dalhem,BE,50.7132,5.7277,67.19,90,100,6.82,overcast clouds
287,Pekan,MY,3.4836,103.3996,77.97,90,100,6.51,overcast clouds
288,Aykhal,RU,66.0,111.5,5.94,98,100,9.46,overcast clouds
289,General Cepeda,MX,25.3833,-101.45,73.08,21,10,5.68,clear sky
290,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,83,40,5.75,scattered clouds
291,Suoyarvi,RU,62.0833,32.35,43.16,82,100,13.98,light rain
292,Manaure,CO,11.7751,-72.4445,82.04,70,95,12.57,overcast clouds
293,Panaba,MX,21.2833,-88.2667,84.58,58,45,11.14,scattered clouds
294,Taylor,US,32.3001,-99.8337,63.01,65,100,11.5,overcast clouds
295,Saraland,US,30.8207,-88.0706,73.42,86,96,9.91,overcast clouds
296,Borogontsy,RU,62.6683,131.1683,6.17,94,100,5.64,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,72.0,77,11,1.99,few clouds
